the,of,is,cause
pokemon/stat/defense,A68uzLC8p1XGx4gMpf9ctuDujzujNZ61oerDrFre1vtC,85,
pokemon/stat/hp,A68uzLC8p1XGx4gMpf9ctuDujzujNZ61oerDrFre1vtC,55,
pokemon/stat/special-attack,A68uzLC8p1XGx4gMpf9ctuDujzujNZ61oerDrFre1vtC,32,
pokemon/stat/special-defense,A68uzLC8p1XGx4gMpf9ctuDujzujNZ61oerDrFre1vtC,35,
pokemon/stat/speed,A68uzLC8p1XGx4gMpf9ctuDujzujNZ61oerDrFre1vtC,28,
pokemon/type/0,A68uzLC8p1XGx4gMpf9ctuDujzujNZ61oerDrFre1vtC,ice,
pokemon/name,A6Q8dpQXck1yWqEMSkXd9nYTAY55vbwy3P8VRpeS5muu,throh,
pokemon/stat/attack,A6Q8dpQXck1yWqEMSkXd9nYTAY55vbwy3P8VRpeS5muu,100,
pokemon/stat/defense,A6Q8dpQXck1yWqEMSkXd9nYTAY55vbwy3P8VRpeS5muu,85,
pokemon/stat/hp,A6Q8dpQXck1yWqEMSkXd9nYTAY55vbwy3P8VRpeS5muu,120,
pokemon/stat/special-attack,A6Q8dpQXck1yWqEMSkXd9nYTAY55vbwy3P8VRpeS5muu,30,
pokemon/stat/special-defense,A6Q8dpQXck1yWqEMSkXd9nYTAY55vbwy3P8VRpeS5muu,85,
pokemon/stat/speed,A6Q8dpQXck1yWqEMSkXd9nYTAY55vbwy3P8VRpeS5muu,45,
pokemon/type/0,A6Q8dpQXck1yWqEMSkXd9nYTAY55vbwy3P8VRpeS5muu,fighting,
pokemon/name,A7TmiiDBGj2EN4nXdQnUhUaZcUNZZEshG6LMsDvCujSm,tynamo,
pokemon/stat/attack,A7TmiiDBGj2EN4nXdQnUhUaZcUNZZEshG6LMsDvCujSm,55,
pokemon/stat/defense,A7TmiiDBGj2EN4nXdQnUhUaZcUNZZEshG6LMsDvCujSm,40,
pokemon/stat/hp,A7TmiiDBGj2EN4nXdQnUhUaZcUNZZEshG6LMsDvCujSm,35,
pokemon/stat/special-attack,A7TmiiDBGj2EN4nXdQnUhUaZcUNZZEshG6LMsDvCujSm,45,
pokemon/stat/special-defense,A7TmiiDBGj2EN4nXdQnUhUaZcUNZZEshG6LMsDvCujSm,40,
pokemon/stat/speed,A7TmiiDBGj2EN4nXdQnUhUaZcUNZZEshG6LMsDvCujSm,60,
pokemon/type/0,A7TmiiDBGj2EN4nXdQnUhUaZcUNZZEshG6LMsDvCujSm,electric,
pokemon/name,A7Zcwkjae3mMPNNWLyTH36ie2wJcThZX2FsxqUqL98T9,ribombee-totem,
pokemon/stat/attack,A7Zcwkjae3mMPNNWLyTH36ie2wJcThZX2FsxqUqL98T9,55,
pokemon/stat/defense,A7Zcwkjae3mMPNNWLyTH36ie2wJcThZX2FsxqUqL98T9,60,
pokemon/stat/hp,A7Zcwkjae3mMPNNWLyTH36ie2wJcThZX2FsxqUqL98T9,60,
pokemon/stat/special-attack,A7Zcwkjae3mMPNNWLyTH36ie2wJcThZX2FsxqUqL98T9,95,
pokemon/stat/special-defense,A7Zcwkjae3mMPNNWLyTH36ie2wJcThZX2FsxqUqL98T9,70,
pokemon/stat/speed,A7Zcwkjae3mMPNNWLyTH36ie2wJcThZX2FsxqUqL98T9,124,
pokemon/type/0,A7Zcwkjae3mMPNNWLyTH36ie2wJcThZX2FsxqUqL98T9,bug,
pokemon/type/1,A7Zcwkjae3mMPNNWLyTH36ie2wJcThZX2FsxqUqL98T9,fairy,
pokemon/name,A7bNPx1fJQWM9NHskBiQNe1tsQpZV4VMubETgLn8uct8,zoroark,
pokemon/stat/attack,A7bNPx1fJQWM9NHskBiQNe1tsQpZV4VMubETgLn8uct8,105,
pokemon/stat/defense,A7bNPx1fJQWM9NHskBiQNe1tsQpZV4VMubETgLn8uct8,60,
pokemon/stat/hp,A7bNPx1fJQWM9NHskBiQNe1tsQpZV4VMubETgLn8uct8,60,
pokemon/stat/special-attack,A7bNPx1fJQWM9NHskBiQNe1tsQpZV4VMubETgLn8uct8,120,
pokemon/stat/special-defense,A7bNPx1fJQWM9NHskBiQNe1tsQpZV4VMubETgLn8uct8,60,
pokemon/stat/speed,A7bNPx1fJQWM9NHskBiQNe1tsQpZV4VMubETgLn8uct8,105,
pokemon/type/0,A7bNPx1fJQWM9NHskBiQNe1tsQpZV4VMubETgLn8uct8,dark,
pokemon/name,A8koWdxEMHB5eDG42DDL87mA2GmViUGbtj11MB9xT68Y,shroodle,
pokemon/stat/attack,A8koWdxEMHB5eDG42DDL87mA2GmViUGbtj11MB9xT68Y,65,
pokemon/stat/defense,A8koWdxEMHB5eDG42DDL87mA2GmViUGbtj11MB9xT68Y,35,
pokemon/stat/hp,A8koWdxEMHB5eDG42DDL87mA2GmViUGbtj11MB9xT68Y,40,
pokemon/stat/special-attack,A8koWdxEMHB5eDG42DDL87mA2GmViUGbtj11MB9xT68Y,40,
pokemon/stat/special-defense,A8koWdxEMHB5eDG42DDL87mA2GmViUGbtj11MB9xT68Y,35,
pokemon/stat/speed,A8koWdxEMHB5eDG42DDL87mA2GmViUGbtj11MB9xT68Y,75,
pokemon/type/0,A8koWdxEMHB5eDG42DDL87mA2GmViUGbtj11MB9xT68Y,poison,
pokemon/type/1,A8koWdxEMHB5eDG42DDL87mA2GmViUGbtj11MB9xT68Y,normal,
pokemon/name,ABDYHb1FEf7emRMfq296zv8WgExhabkwfQmxndmv9x6j,sneasel-hisui,
pokemon/stat/attack,ABDYHb1FEf7emRMfq296zv8WgExhabkwfQmxndmv9x6j,95,
pokemon/stat/defense,ABDYHb1FEf7emRMfq296zv8WgExhabkwfQmxndmv9x6j,55,
pokemon/stat/hp,ABDYHb1FEf7emRMfq296zv8WgExhabkwfQmxndmv9x6j,55,
pokemon/stat/special-attack,ABDYHb1FEf7emRMfq296zv8WgExhabkwfQmxndmv9x6j,35,
pokemon/stat/special-defense,ABDYHb1FEf7emRMfq296zv8WgExhabkwfQmxndmv9x6j,75,
pokemon/stat/speed,ABDYHb1FEf7emRMfq296zv8WgExhabkwfQmxndmv9x6j,115,
pokemon/type/0,ABDYHb1FEf7emRMfq296zv8WgExhabkwfQmxndmv9x6j,fighting,
pokemon/type/1,ABDYHb1FEf7emRMfq296zv8WgExhabkwfQmxndmv9x6j,poison,
pokemon/name,ABiveVjKKwQvULnkJ1yMzynNBkfB4bjM2gNbyiFmgxh7,raikou,
pokemon/stat/attack,ABiveVjKKwQvULnkJ1yMzynNBkfB4bjM2gNbyiFmgxh7,85,
pokemon/stat/defense,ABiveVjKKwQvULnkJ1yMzynNBkfB4bjM2gNbyiFmgxh7,75,
pokemon/stat/hp,ABiveVjKKwQvULnkJ1yMzynNBkfB4bjM2gNbyiFmgxh7,90,
pokemon/stat/special-attack,ABiveVjKKwQvULnkJ1yMzynNBkfB4bjM2gNbyiFmgxh7,115,
pokemon/stat/special-defense,ABiveVjKKwQvULnkJ1yMzynNBkfB4bjM2gNbyiFmgxh7,100,
pokemon/stat/speed,ABiveVjKKwQvULnkJ1yMzynNBkfB4bjM2gNbyiFmgxh7,115,
pokemon/type/0,ABiveVjKKwQvULnkJ1yMzynNBkfB4bjM2gNbyiFmgxh7,electric,
pokemon/name,ACkpt7gSwngNZyyVnY7kchEVtJC62FXBgTxR5TSbphwj,iron-valiant,
pokemon/stat/attack,ACkpt7gSwngNZyyVnY7kchEVtJC62FXBgTxR5TSbphwj,130,
pokemon/stat/defense,ACkpt7gSwngNZyyVnY7kchEVtJC62FXBgTxR5TSbphwj,90,
pokemon/stat/hp,ACkpt7gSwngNZyyVnY7kchEVtJC62FXBgTxR5TSbphwj,74,
pokemon/stat/special-attack,ACkpt7gSwngNZyyVnY7kchEVtJC62FXBgTxR5TSbphwj,120,
pokemon/stat/special-defense,ACkpt7gSwngNZyyVnY7kchEVtJC62FXBgTxR5TSbphwj,60,
pokemon/stat/speed,ACkpt7gSwngNZyyVnY7kchEVtJC62FXBgTxR5TSbphwj,116,
pokemon/type/0,ACkpt7gSwngNZyyVnY7kchEVtJC62FXBgTxR5TSbphwj,fairy,
pokemon/type/1,ACkpt7gSwngNZyyVnY7kchEVtJC62FXBgTxR5TSbphwj,fighting,
pokemon/name,ADrhfK3FCPtbKGRvAqu1ymzWRNQt954ADrAKyocdNrKo,kommo-o-totem,
pokemon/stat/attack,ADrhfK3FCPtbKGRvAqu1ymzWRNQt954ADrAKyocdNrKo,110,
pokemon/stat/defense,ADrhfK3FCPtbKGRvAqu1ymzWRNQt954ADrAKyocdNrKo,125,
pokemon/stat/hp,ADrhfK3FCPtbKGRvAqu1ymzWRNQt954ADrAKyocdNrKo,75,
pokemon/stat/special-attack,ADrhfK3FCPtbKGRvAqu1ymzWRNQt954ADrAKyocdNrKo,100,
pokemon/stat/special-defense,ADrhfK3FCPtbKGRvAqu1ymzWRNQt954ADrAKyocdNrKo,105,
pokemon/stat/speed,ADrhfK3FCPtbKGRvAqu1ymzWRNQt954ADrAKyocdNrKo,85,
pokemon/type/0,ADrhfK3FCPtbKGRvAqu1ymzWRNQt954ADrAKyocdNrKo,dragon,
pokemon/type/1,ADrhfK3FCPtbKGRvAqu1ymzWRNQt954ADrAKyocdNrKo,fighting,
pokemon/name,AEGuEMmtPDbdwsarNMVXPesYxnVbqFwJNp8fYKFcwEUZ,inteleon-gmax,
pokemon/stat/attack,AEGuEMmtPDbdwsarNMVXPesYxnVbqFwJNp8fYKFcwEUZ,85,
pokemon/stat/defense,AEGuEMmtPDbdwsarNMVXPesYxnVbqFwJNp8fYKFcwEUZ,65,
pokemon/stat/hp,AEGuEMmtPDbdwsarNMVXPesYxnVbqFwJNp8fYKFcwEUZ,70,
pokemon/stat/special-attack,AEGuEMmtPDbdwsarNMVXPesYxnVbqFwJNp8fYKFcwEUZ,125,
pokemon/stat/special-defense,AEGuEMmtPDbdwsarNMVXPesYxnVbqFwJNp8fYKFcwEUZ,65,
pokemon/stat/speed,AEGuEMmtPDbdwsarNMVXPesYxnVbqFwJNp8fYKFcwEUZ,120,
pokemon/type/0,AEGuEMmtPDbdwsarNMVXPesYxnVbqFwJNp8fYKFcwEUZ,water,
pokemon/name,AEMtfnqjP9ge3bRqpX7dL36iA4g3fz5hccpNcYStwQQa,munchlax,
pokemon/stat/attack,AEMtfnqjP9ge3bRqpX7dL36iA4g3fz5hccpNcYStwQQa,85,
pokemon/stat/defense,AEMtfnqjP9ge3bRqpX7dL36iA4g3fz5hccpNcYStwQQa,40,
pokemon/stat/hp,AEMtfnqjP9ge3bRqpX7dL36iA4g3fz5hccpNcYStwQQa,135,
pokemon/stat/special-attack,AEMtfnqjP9ge3bRqpX7dL36iA4g3fz5hccpNcYStwQQa,40,
pokemon/stat/special-defense,AEMtfnqjP9ge3bRqpX7dL36iA4g3fz5hccpNcYStwQQa,85,
pokemon/stat/speed,AEMtfnqjP9ge3bRqpX7dL36iA4g3fz5hccpNcYStwQQa,5,
pokemon/type/0,AEMtfnqjP9ge3bRqpX7dL36iA4g3fz5hccpNcYStwQQa,normal,
pokemon/name,AEiim4xAQipYf41Du93z8uv3m1YpEvKT4usY4y3SmoCH,luvdisc,
pokemon/stat/attack,AEiim4xAQipYf41Du93z8uv3m1YpEvKT4usY4y3SmoCH,30,
pokemon/stat/defense,AEiim4xAQipYf41Du93z8uv3m1YpEvKT4usY4y3SmoCH,55,
pokemon/stat/hp,AEiim4xAQipYf41Du93z8uv3m1YpEvKT4usY4y3SmoCH,43,
pokemon/stat/special-attack,AEiim4xAQipYf41Du93z8uv3m1YpEvKT4usY4y3SmoCH,40,
pokemon/stat/special-defense,AEiim4xAQipYf41Du93z8uv3m1YpEvKT4usY4y3SmoCH,65,
pokemon/stat/speed,AEiim4xAQipYf41Du93z8uv3m1YpEvKT4usY4y3SmoCH,97,
pokemon/type/0,AEiim4xAQipYf41Du93z8uv3m1YpEvKT4usY4y3SmoCH,water,
pokemon/name,AFo3Vo67yACwnHLADb5JQE6vrQkwVGvYKfsU7JLq4a6N,raticate-alola,
pokemon/stat/attack,AFo3Vo67yACwnHLADb5JQE6vrQkwVGvYKfsU7JLq4a6N,71,
pokemon/stat/defense,AFo3Vo67yACwnHLADb5JQE6vrQkwVGvYKfsU7JLq4a6N,70,
pokemon/stat/hp,AFo3Vo67yACwnHLADb5JQE6vrQkwVGvYKfsU7JLq4a6N,75,
pokemon/stat/special-attack,AFo3Vo67yACwnHLADb5JQE6vrQkwVGvYKfsU7JLq4a6N,40,
pokemon/stat/special-defense,AFo3Vo67yACwnHLADb5JQE6vrQkwVGvYKfsU7JLq4a6N,80,
pokemon/stat/speed,AFo3Vo67yACwnHLADb5JQE6vrQkwVGvYKfsU7JLq4a6N,77,
pokemon/type/0,AFo3Vo67yACwnHLADb5JQE6vrQkwVGvYKfsU7JLq4a6N,dark,
pokemon/type/1,AFo3Vo67yACwnHLADb5JQE6vrQkwVGvYKfsU7JLq4a6N,normal,
pokemon/name,AH4LrXkXwwDdPu6berwwCLPomV6oW7idXEBdSuoUMBW9,stufful,
pokemon/stat/attack,AH4LrXkXwwDdPu6berwwCLPomV6oW7idXEBdSuoUMBW9,75,
pokemon/stat/defense,AH4LrXkXwwDdPu6berwwCLPomV6oW7idXEBdSuoUMBW9,50,
pokemon/stat/hp,AH4LrXkXwwDdPu6berwwCLPomV6oW7idXEBdSuoUMBW9,70,
pokemon/stat/special-attack,AH4LrXkXwwDdPu6berwwCLPomV6oW7idXEBdSuoUMBW9,45,
pokemon/stat/special-defense,AH4LrXkXwwDdPu6berwwCLPomV6oW7idXEBdSuoUMBW9,50,
pokemon/stat/speed,AH4LrXkXwwDdPu6berwwCLPomV6oW7idXEBdSuoUMBW9,50,
pokemon/type/0,AH4LrXkXwwDdPu6berwwCLPomV6oW7idXEBdSuoUMBW9,normal,
pokemon/type/1,AH4LrXkXwwDdPu6berwwCLPomV6oW7idXEBdSuoUMBW9,fighting,
pokemon/name,AHHtupKyb1MYmdoWkY53gjtJowKVFdzVHJzK1eQwN7WL,porygon2,
pokemon/stat/attack,AHHtupKyb1MYmdoWkY53gjtJowKVFdzVHJzK1eQwN7WL,80,
pokemon/stat/defense,AHHtupKyb1MYmdoWkY53gjtJowKVFdzVHJzK1eQwN7WL,90,
pokemon/stat/hp,AHHtupKyb1MYmdoWkY53gjtJowKVFdzVHJzK1eQwN7WL,85,
pokemon/stat/special-attack,AHHtupKyb1MYmdoWkY53gjtJowKVFdzVHJzK1eQwN7WL,105,
pokemon/stat/special-defense,AHHtupKyb1MYmdoWkY53gjtJowKVFdzVHJzK1eQwN7WL,95,
pokemon/stat/speed,AHHtupKyb1MYmdoWkY53gjtJowKVFdzVHJzK1eQwN7WL,60,
pokemon/type/0,AHHtupKyb1MYmdoWkY53gjtJowKVFdzVHJzK1eQwN7WL,normal,
pokemon/name,AHwocnUbUp7M58vK5dbZp8rz2ckpzULUPQdVKGhXqJLm,spheal,
pokemon/stat/attack,AHwocnUbUp7M58vK5dbZp8rz2ckpzULUPQdVKGhXqJLm,40,
pokemon/stat/defense,AHwocnUbUp7M58vK5dbZp8rz2ckpzULUPQdVKGhXqJLm,50,
pokemon/stat/hp,AHwocnUbUp7M58vK5dbZp8rz2ckpzULUPQdVKGhXqJLm,70,
pokemon/stat/special-attack,AHwocnUbUp7M58vK5dbZp8rz2ckpzULUPQdVKGhXqJLm,55,
pokemon/stat/special-defense,AHwocnUbUp7M58vK5dbZp8rz2ckpzULUPQdVKGhXqJLm,50,
pokemon/stat/speed,AHwocnUbUp7M58vK5dbZp8rz2ckpzULUPQdVKGhXqJLm,25,
pokemon/type/0,AHwocnUbUp7M58vK5dbZp8rz2ckpzULUPQdVKGhXqJLm,ice,
pokemon/type/1,AHwocnUbUp7M58vK5dbZp8rz2ckpzULUPQdVKGhXqJLm,water,
pokemon/name,AJ2TFKKTwEH4MH9CjdXVZGp9hJr9JPq99rPNqJh7UKAC,aipom,
pokemon/stat/attack,AJ2TFKKTwEH4MH9CjdXVZGp9hJr9JPq99rPNqJh7UKAC,70,
pokemon/stat/defense,AJ2TFKKTwEH4MH9CjdXVZGp9hJr9JPq99rPNqJh7UKAC,55,
pokemon/stat/hp,AJ2TFKKTwEH4MH9CjdXVZGp9hJr9JPq99rPNqJh7UKAC,55,
pokemon/stat/special-attack,AJ2TFKKTwEH4MH9CjdXVZGp9hJr9JPq99rPNqJh7UKAC,40,
pokemon/stat/special-defense,AJ2TFKKTwEH4MH9CjdXVZGp9hJr9JPq99rPNqJh7UKAC,55,
pokemon/stat/speed,AJ2TFKKTwEH4MH9CjdXVZGp9hJr9JPq99rPNqJh7UKAC,85,
pokemon/type/0,AJ2TFKKTwEH4MH9CjdXVZGp9hJr9JPq99rPNqJh7UKAC,normal,
pokemon/name,AJReLBVBGapcmRGeUBme7jVDstaz3MnAAfusUQxaj3xN,fezandipiti,
pokemon/stat/attack,AJReLBVBGapcmRGeUBme7jVDstaz3MnAAfusUQxaj3xN,91,
pokemon/stat/defense,AJReLBVBGapcmRGeUBme7jVDstaz3MnAAfusUQxaj3xN,82,
pokemon/stat/hp,AJReLBVBGapcmRGeUBme7jVDstaz3MnAAfusUQxaj3xN,88,
pokemon/stat/special-attack,AJReLBVBGapcmRGeUBme7jVDstaz3MnAAfusUQxaj3xN,70,
pokemon/stat/special-defense,AJReLBVBGapcmRGeUBme7jVDstaz3MnAAfusUQxaj3xN,125,
pokemon/stat/speed,AJReLBVBGapcmRGeUBme7jVDstaz3MnAAfusUQxaj3xN,99,
pokemon/type/0,AJReLBVBGapcmRGeUBme7jVDstaz3MnAAfusUQxaj3xN,poison,
pokemon/type/1,AJReLBVBGapcmRGeUBme7jVDstaz3MnAAfusUQxaj3xN,fairy,
pokemon/name,AJtnvu7AxRtbmgoaL6U1uQL6VoXDdLowAsVX1pRQbjZ8,espathra,
pokemon/stat/attack,AJtnvu7AxRtbmgoaL6U1uQL6VoXDdLowAsVX1pRQbjZ8,60,
pokemon/stat/defense,AJtnvu7AxRtbmgoaL6U1uQL6VoXDdLowAsVX1pRQbjZ8,60,
pokemon/stat/hp,AJtnvu7AxRtbmgoaL6U1uQL6VoXDdLowAsVX1pRQbjZ8,95,
pokemon/stat/special-attack,AJtnvu7AxRtbmgoaL6U1uQL6VoXDdLowAsVX1pRQbjZ8,101,
pokemon/stat/special-defense,AJtnvu7AxRtbmgoaL6U1uQL6VoXDdLowAsVX1pRQbjZ8,60,
pokemon/stat/speed,AJtnvu7AxRtbmgoaL6U1uQL6VoXDdLowAsVX1pRQbjZ8,105,
pokemon/type/0,AJtnvu7AxRtbmgoaL6U1uQL6VoXDdLowAsVX1pRQbjZ8,psychic,
pokemon/name,AMBoR3MkAS9dK8fsAhmNiVyQTFtu4k6KwGbQb5fVkwqC,snubbull,
pokemon/stat/attack,AMBoR3MkAS9dK8fsAhmNiVyQTFtu4k6KwGbQb5fVkwqC,80,
pokemon/stat/defense,AMBoR3MkAS9dK8fsAhmNiVyQTFtu4k6KwGbQb5fVkwqC,50,
pokemon/stat/hp,AMBoR3MkAS9dK8fsAhmNiVyQTFtu4k6KwGbQb5fVkwqC,60,
pokemon/stat/special-attack,AMBoR3MkAS9dK8fsAhmNiVyQTFtu4k6KwGbQb5fVkwqC,40,
pokemon/stat/special-defense,AMBoR3MkAS9dK8fsAhmNiVyQTFtu4k6KwGbQb5fVkwqC,40,
pokemon/stat/speed,AMBoR3MkAS9dK8fsAhmNiVyQTFtu4k6KwGbQb5fVkwqC,30,
pokemon/type/0,AMBoR3MkAS9dK8fsAhmNiVyQTFtu4k6KwGbQb5fVkwqC,fairy,
pokemon/name,AMo1p36gbaTKaeJtQQfKQEfEfCweWURpDTbNnX87bRfU,kingler-gmax,
pokemon/stat/attack,AMo1p36gbaTKaeJtQQfKQEfEfCweWURpDTbNnX87bRfU,130,
pokemon/stat/defense,AMo1p36gbaTKaeJtQQfKQEfEfCweWURpDTbNnX87bRfU,115,
pokemon/stat/hp,AMo1p36gbaTKaeJtQQfKQEfEfCweWURpDTbNnX87bRfU,55,
pokemon/stat/special-attack,AMo1p36gbaTKaeJtQQfKQEfEfCweWURpDTbNnX87bRfU,50,
pokemon/stat/special-defense,AMo1p36gbaTKaeJtQQfKQEfEfCweWURpDTbNnX87bRfU,50,
pokemon/stat/speed,AMo1p36gbaTKaeJtQQfKQEfEfCweWURpDTbNnX87bRfU,75,
pokemon/type/0,AMo1p36gbaTKaeJtQQfKQEfEfCweWURpDTbNnX87bRfU,water,
pokemon/name,ANAkrf2Up4Qgb8XxmVbcNCc5fyRKkyUpRxmz8fKx97k1,calyrex-shadow,
pokemon/stat/attack,ANAkrf2Up4Qgb8XxmVbcNCc5fyRKkyUpRxmz8fKx97k1,85,
pokemon/stat/defense,ANAkrf2Up4Qgb8XxmVbcNCc5fyRKkyUpRxmz8fKx97k1,80,
pokemon/stat/hp,ANAkrf2Up4Qgb8XxmVbcNCc5fyRKkyUpRxmz8fKx97k1,100,
pokemon/stat/special-attack,ANAkrf2Up4Qgb8XxmVbcNCc5fyRKkyUpRxmz8fKx97k1,165,
pokemon/stat/special-defense,ANAkrf2Up4Qgb8XxmVbcNCc5fyRKkyUpRxmz8fKx97k1,100,
pokemon/stat/speed,ANAkrf2Up4Qgb8XxmVbcNCc5fyRKkyUpRxmz8fKx97k1,150,
pokemon/type/0,ANAkrf2Up4Qgb8XxmVbcNCc5fyRKkyUpRxmz8fKx97k1,psychic,
pokemon/type/1,ANAkrf2Up4Qgb8XxmVbcNCc5fyRKkyUpRxmz8fKx97k1,ghost,
pokemon/name,ANL2rxkExawVLWb65e6fiFA8Gfnb2w7PVsWJe5C4n5SB,pyukumuku,
pokemon/stat/attack,ANL2rxkExawVLWb65e6fiFA8Gfnb2w7PVsWJe5C4n5SB,60,
pokemon/stat/defense,ANL2rxkExawVLWb65e6fiFA8Gfnb2w7PVsWJe5C4n5SB,130,
pokemon/stat/hp,ANL2rxkExawVLWb65e6fiFA8Gfnb2w7PVsWJe5C4n5SB,55,
pokemon/stat/special-attack,ANL2rxkExawVLWb65e6fiFA8Gfnb2w7PVsWJe5C4n5SB,30,
pokemon/stat/special-defense,ANL2rxkExawVLWb65e6fiFA8Gfnb2w7PVsWJe5C4n5SB,130,
pokemon/stat/speed,ANL2rxkExawVLWb65e6fiFA8Gfnb2w7PVsWJe5C4n5SB,5,
pokemon/type/0,ANL2rxkExawVLWb65e6fiFA8Gfnb2w7PVsWJe5C4n5SB,water,
pokemon/name,ANiajkngZvbZPoqE4Drx9xpmCQUkgZRB9nbbnyKiUKgL,miltank,
pokemon/stat/attack,ANiajkngZvbZPoqE4Drx9xpmCQUkgZRB9nbbnyKiUKgL,80,
pokemon/stat/defense,ANiajkngZvbZPoqE4Drx9xpmCQUkgZRB9nbbnyKiUKgL,105,
pokemon/stat/hp,ANiajkngZvbZPoqE4Drx9xpmCQUkgZRB9nbbnyKiUKgL,95,
pokemon/stat/special-attack,ANiajkngZvbZPoqE4Drx9xpmCQUkgZRB9nbbnyKiUKgL,40,
pokemon/stat/special-defense,ANiajkngZvbZPoqE4Drx9xpmCQUkgZRB9nbbnyKiUKgL,70,
pokemon/stat/speed,ANiajkngZvbZPoqE4Drx9xpmCQUkgZRB9nbbnyKiUKgL,100,
pokemon/type/0,ANiajkngZvbZPoqE4Drx9xpmCQUkgZRB9nbbnyKiUKgL,normal,
pokemon/name,AQX4fV7Ag7jqevmrteKuzAGXytc5dzNbuJaTAfGxo3dV,hitmonlee,
pokemon/stat/attack,AQX4fV7Ag7jqevmrteKuzAGXytc5dzNbuJaTAfGxo3dV,120,
pokemon/stat/defense,AQX4fV7Ag7jqevmrteKuzAGXytc5dzNbuJaTAfGxo3dV,53,
pokemon/stat/hp,AQX4fV7Ag7jqevmrteKuzAGXytc5dzNbuJaTAfGxo3dV,50,
pokemon/stat/special-attack,AQX4fV7Ag7jqevmrteKuzAGXytc5dzNbuJaTAfGxo3dV,35,
pokemon/stat/special-defense,AQX4fV7Ag7jqevmrteKuzAGXytc5dzNbuJaTAfGxo3dV,110,
pokemon/stat/speed,AQX4fV7Ag7jqevmrteKuzAGXytc5dzNbuJaTAfGxo3dV,87,
pokemon/type/0,AQX4fV7Ag7jqevmrteKuzAGXytc5dzNbuJaTAfGxo3dV,fighting,
pokemon/name,AQqTzkvdFdH7zbf6TfaqaNZazGttZ6ccAPDQDAJT73Jz,butterfree,
pokemon/stat/attack,AQqTzkvdFdH7zbf6TfaqaNZazGttZ6ccAPDQDAJT73Jz,45,
pokemon/stat/defense,AQqTzkvdFdH7zbf6TfaqaNZazGttZ6ccAPDQDAJT73Jz,50,
pokemon/stat/hp,AQqTzkvdFdH7zbf6TfaqaNZazGttZ6ccAPDQDAJT73Jz,60,
pokemon/stat/special-attack,AQqTzkvdFdH7zbf6TfaqaNZazGttZ6ccAPDQDAJT73Jz,90,
pokemon/stat/special-defense,AQqTzkvdFdH7zbf6TfaqaNZazGttZ6ccAPDQDAJT73Jz,80,
pokemon/stat/speed,AQqTzkvdFdH7zbf6TfaqaNZazGttZ6ccAPDQDAJT73Jz,70,
pokemon/type/0,AQqTzkvdFdH7zbf6TfaqaNZazGttZ6ccAPDQDAJT73Jz,bug,
pokemon/type/1,AQqTzkvdFdH7zbf6TfaqaNZazGttZ6ccAPDQDAJT73Jz,flying,
pokemon/name,ASjD6b7FTbEHBFaF46xAgDxPvwrKwg9hWzN5x1VZoNX4,tsareena,
pokemon/stat/attack,ASjD6b7FTbEHBFaF46xAgDxPvwrKwg9hWzN5x1VZoNX4,120,
pokemon/stat/defense,ASjD6b7FTbEHBFaF46xAgDxPvwrKwg9hWzN5x1VZoNX4,98,
pokemon/stat/hp,ASjD6b7FTbEHBFaF46xAgDxPvwrKwg9hWzN5x1VZoNX4,72,
pokemon/stat/special-attack,ASjD6b7FTbEHBFaF46xAgDxPvwrKwg9hWzN5x1VZoNX4,50,
pokemon/stat/special-defense,ASjD6b7FTbEHBFaF46xAgDxPvwrKwg9hWzN5x1VZoNX4,98,
pokemon/stat/speed,ASjD6b7FTbEHBFaF46xAgDxPvwrKwg9hWzN5x1VZoNX4,72,
pokemon/type/0,ASjD6b7FTbEHBFaF46xAgDxPvwrKwg9hWzN5x1VZoNX4,grass,
pokemon/name,ASmYFs2KASrw3etdR7tkzfUtbU8xvFdi2s2SGajDCcSo,charjabug,
pokemon/stat/attack,ASmYFs2KASrw3etdR7tkzfUtbU8xvFdi2s2SGajDCcSo,82,
pokemon/stat/defense,ASmYFs2KASrw3etdR7tkzfUtbU8xvFdi2s2SGajDCcSo,95,
pokemon/stat/hp,ASmYFs2KASrw3etdR7tkzfUtbU8xvFdi2s2SGajDCcSo,57,
pokemon/stat/special-attack,ASmYFs2KASrw3etdR7tkzfUtbU8xvFdi2s2SGajDCcSo,55,
pokemon/stat/special-defense,ASmYFs2KASrw3etdR7tkzfUtbU8xvFdi2s2SGajDCcSo,75,
pokemon/stat/speed,ASmYFs2KASrw3etdR7tkzfUtbU8xvFdi2s2SGajDCcSo,36,
pokemon/type/0,ASmYFs2KASrw3etdR7tkzfUtbU8xvFdi2s2SGajDCcSo,bug,
pokemon/type/1,ASmYFs2KASrw3etdR7tkzfUtbU8xvFdi2s2SGajDCcSo,electric,
pokemon/name,AT6zGFgRKZFBqJvraR1bz3LTuVBPgfatL7yNHVXvRtox,vulpix-alola,
pokemon/stat/attack,AT6zGFgRKZFBqJvraR1bz3LTuVBPgfatL7yNHVXvRtox,41,
pokemon/stat/defense,AT6zGFgRKZFBqJvraR1bz3LTuVBPgfatL7yNHVXvRtox,40,
pokemon/stat/hp,AT6zGFgRKZFBqJvraR1bz3LTuVBPgfatL7yNHVXvRtox,38,
